********LEGEND FOR FIELD NAMES LOCATED AT BOTTOM OF FILE************,,,,,,,,,,,,,,,,,,,,
Station_Code,m/d/y hh:mm,See Legend,See Legend,See Legend, C,Flag Code See Legend,mS/cm,Flag Code See Legend,Units,Flag Code See Legend,psu,Flag Code See Legend,m,Flag Code,FNU/NTU,Flag Code See Legend,%,Flag Code See Legend,mg/L,Flag Code See Legend
Station Code,DateTimeStamp,Historical,ProvisionalPlus,F_Record,Temp,F_Temp,SpCond,F_SpCond,pH,F_pH,Sal,F_Sal,Depth,F_Depth,Turb,F_Turb,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl
cmlahwq,6/29/2023 13:15,1,1, ,31.9,<0> (CND),47.31,<0> (CND),8,<0> (CND),30.6,<0> (CND),1.13,<0> (CND),11,<0> (CND),102.6,<0> (CND),6.4,<0> (CND)
cmlahwq,6/29/2023 13:30,1,1, ,32.5,0,46.97,0,8,0,30.3,0,1.09,0,6,0,96.3,0,5.9,0
cmlahwq,6/29/2023 13:45,1,1, ,32.5,0,46.96,0,8,0,30.3,0,1.05,0,6,0,97.1,0,6,0
cmlahwq,6/29/2023 14:00,1,1, ,32.6,0,46.96,0,8,0,30.3,0,1.01,0,7,0,99.6,0,6.1,0
cmlahwq,6/29/2023 14:15,1,1, ,32.7,0,46.94,0,8,0,30.3,0,0.97,0,7,0,101,0,6.2,0
cmlahwq,6/29/2023 14:30,1,1, ,32.7,0,46.93,0,8,0,30.3,0,0.93,0,7,0,102.3,0,6.3,0
cmlahwq,6/29/2023 14:45,1,1, ,32.8,0,46.94,0,8,0,30.3,0,0.89,0,7,0,105,0,6.4,0
cmlahwq,6/29/2023 15:00,1,1, ,32.8,0,46.93,0,8.1,0,30.3,0,0.84,0,7,0,106.3,0,6.5,0
cmlahwq,6/29/2023 15:15,1,1, ,32.9,0,46.94,0,8.1,0,30.3,0,0.8,0,7,0,105.8,0,6.5,0
cmlahwq,6/29/2023 15:30,1,1, ,32.9,0,46.94,0,8,0,30.3,0,0.77,0,8,0,105,0,6.4,0
cmlahwq,6/29/2023 15:45,1,1, ,32.9,0,46.94,0,8.1,0,30.3,0,0.73,0,9,0,106.6,0,6.5,0
cmlahwq,6/29/2023 16:00,1,1, ,32.9,0,46.92,0,8.1,0,30.3,0,0.7,0,9,0,106,0,6.5,0
cmlahwq,6/29/2023 16:15,1,1, ,32.9,0,46.91,0,8,0,30.2,0,0.68,0,10,0,104.9,0,6.4,0
cmlahwq,6/29/2023 16:30,1,1, ,32.9,0,46.91,0,8,0,30.2,0,0.65,0,10,0,103,0,6.3,0
cmlahwq,6/29/2023 16:45,1,1, ,32.9,0,46.91,0,8,0,30.2,0,0.62,0,10,0,104.4,0,6.4,0
cmlahwq,6/29/2023 17:00,1,1, ,32.9,0,46.91,0,8,0,30.3,0,0.6,0,11,0,105,0,6.4,0
cmlahwq,6/29/2023 17:15,1,1, ,32.9,0,46.91,0,8,0,30.3,0,0.59,0,11,0,103.7,0,6.3,0
cmlahwq,6/29/2023 17:30,1,1, ,32.9,0,46.91,0,8,0,30.3,0,0.58,0,11,0,101.5,0,6.2,0
cmlahwq,6/29/2023 17:45,1,1, ,32.8,0,46.92,0,8,0,30.3,0,0.58,0,11,0,103.7,0,6.4,0
cmlahwq,6/29/2023 18:00,1,1, ,32.8,0,46.93,0,8,0,30.3,0,0.58,0,10,0,103.1,0,6.3,0
cmlahwq,6/29/2023 18:15,1,1, ,32.8,0,46.93,0,8,0,30.3,0,0.59,0,10,0,101.5,0,6.2,0
cmlahwq,6/29/2023 18:30,1,1, ,32.8,0,46.94,0,8,0,30.3,0,0.61,0,10,0,101.2,0,6.2,0
cmlahwq,6/29/2023 18:45,1,1, ,32.8,0,46.97,0,8,0,30.3,0,0.63,0,11,0,100,0,6.1,0
cmlahwq,6/29/2023 19:00,1,1, ,32.9,0,47,0,8,0,30.3,0,0.65,0,9,0,102.5,0,6.3,0
cmlahwq,6/29/2023 19:15,1,1, ,32.9,0,47.01,0,8,0,30.3,0,0.68,0,10,0,99.4,0,6.1,0
cmlahwq,6/29/2023 19:30,1,1, ,32.7,0,46.96,0,8,0,30.3,0,0.71,0,10,0,98.1,0,6,0
cmlahwq,6/29/2023 19:45,1,1, ,32.6,0,46.97,0,8,0,30.3,0,0.74,0,9,0,92.4,0,5.7,0
cmlahwq,6/29/2023 20:00,1,1, ,32.5,0,46.98,0,8,0,30.3,0,0.78,0,9,0,88.1,0,5.4,0
cmlahwq,6/29/2023 20:15,1,1, ,32.5,0,47,0,8,0,30.3,0,0.82,0,9,0,89.7,0,5.5,0
cmlahwq,6/29/2023 20:30,1,1, ,32.5,0,47.04,0,8,0,30.4,0,0.86,0,9,0,90.9,0,5.6,0
cmlahwq,6/29/2023 20:45,1,1, ,32.6,0,47.05,0,8,0,30.4,0,0.9,0,9,0,87.9,0,5.4,0
cmlahwq,6/29/2023 21:00,1,1, ,32.4,0,47.06,0,8,0,30.4,0,0.95,0,8,0,85.7,0,5.3,0
cmlahwq,6/29/2023 21:15,1,1, ,32.4,0,47.08,0,8,0,30.4,0,0.99,0,9,0,86.4,0,5.3,0
cmlahwq,6/29/2023 21:30,1,1, ,32.3,0,47.1,0,8,0,30.4,0,1.03,0,9,0,83.6,0,5.2,0
cmlahwq,6/29/2023 21:45,1,1, ,32.2,0,47.11,0,8,0,30.4,0,1.07,0,9,0,86.1,0,5.3,0
cmlahwq,6/29/2023 22:00,1,1, ,32.2,0,47.15,0,7.9,0,30.4,0,1.11,0,9,0,79.4,0,4.9,0
cmlahwq,6/29/2023 22:15,1,1, ,32.1,0,47.16,0,7.9,0,30.5,0,1.15,0,8,0,77,0,4.8,0
cmlahwq,6/29/2023 22:30,1,1, ,32.2,0,47.17,0,7.9,0,30.5,0,1.19,0,7,0,83.2,0,5.1,0
cmlahwq,6/29/2023 22:45,1,1, ,32.2,0,47.16,0,8,0,30.5,0,1.22,0,6,0,87.4,0,5.4,0
cmlahwq,6/29/2023 23:00,1,1, ,32.2,0,47.14,0,8,0,30.4,0,1.25,0,6,0,87.6,0,5.4,0
cmlahwq,6/29/2023 23:15,1,1, ,32.2,0,47.14,0,8,0,30.4,0,1.27,0,6,0,83.4,0,5.2,0
cmlahwq,6/29/2023 23:30,1,1, ,32.2,0,47.14,0,7.9,0,30.4,0,1.29,0,6,0,74.9,0,4.6,0
cmlahwq,6/29/2023 23:45,1,1, ,32.1,0,47.13,0,7.9,0,30.4,0,1.29,0,5,0,76.1,0,4.7,0
cmlahwq,6/30/2023,1,1, ,32.1,0,47.11,0,7.9,0,30.4,0,1.29,0,5,0,73,0,4.5,0
cmlahwq,6/30/2023 0:15,1,1, ,32,0,47.12,0,7.9,0,30.4,0,1.29,0,6,0,75.6,0,4.7,0
cmlahwq,6/30/2023 0:30,1,1, ,32,0,47.1,0,7.9,0,30.4,0,1.29,0,6,0,75.3,0,4.7,0
cmlahwq,6/30/2023 0:45,1,1, ,32.1,0,47.09,0,7.9,0,30.4,0,1.27,0,7,0,70.4,0,4.4,0
cmlahwq,6/30/2023 1:00,1,1, ,32,0,47.05,0,7.9,0,30.4,0,1.28,0,7,0,70,0,4.3,0
cmlahwq,6/30/2023 1:15,1,1, ,32,0,47.02,0,7.9,0,30.4,0,1.29,0,7,0,64.5,0,4,0
cmlahwq,6/30/2023 1:30,1,1, ,32,0,47.07,0,7.9,0,30.4,0,1.31,0,7,0,73.8,0,4.6,0
cmlahwq,6/30/2023 1:45,1,1, ,31.9,0,47.09,0,7.9,0,30.4,0,1.33,0,8,0,77.1,0,4.8,0
cmlahwq,6/30/2023 2:00,1,1, ,31.8,0,47.09,0,8,0,30.4,0,1.35,0,7,0,81.9,0,5.1,0
cmlahwq,6/30/2023 2:15,1,1, ,31.8,0,47.08,0,8,0,30.4,0,1.36,0,8,0,82.3,0,5.1,0
cmlahwq,6/30/2023 2:30,1,1, ,31.8,0,47.05,0,8,0,30.4,0,1.34,0,8,0,78.8,0,4.9,0
cmlahwq,6/30/2023 2:45,1,1, ,31.7,0,47.02,0,8,0,30.4,0,1.3,0,9,0,80.9,0,5,0
cmlahwq,6/30/2023 3:00,1,1, ,31.6,0,47.07,0,8,0,30.4,0,1.27,0,8,0,79.8,0,5,0
cmlahwq,6/30/2023 3:15,1,1, ,31.6,0,46.97,0,8,0,30.3,0,1.24,0,9,0,82,0,5.1,0
cmlahwq,6/30/2023 3:30,1,1, ,31.6,0,46.96,0,8,0,30.3,0,1.2,0,8,0,83.1,0,5.2,0
cmlahwq,6/30/2023 3:45,1,1, ,31.5,0,46.96,0,7.9,0,30.3,0,1.18,0,7,0,77.8,0,4.9,0
cmlahwq,6/30/2023 4:00,1,1, ,31.5,0,46.95,0,7.9,0,30.3,0,1.16,0,7,0,75.6,0,4.7,0
cmlahwq,6/30/2023 4:15,1,1, ,31.5,0,46.95,0,7.9,0,30.3,0,1.15,0,8,0,72.1,0,4.5,0
cmlahwq,6/30/2023 4:30,1,1, ,31.5,0,46.95,0,7.9,0,30.3,0,1.16,0,7,0,70.6,0,4.4,0
cmlahwq,6/30/2023 4:45,1,1, ,31.4,0,46.95,0,7.9,0,30.3,0,1.16,0,7,0,72.1,0,4.5,0
cmlahwq,6/30/2023 5:00,1,1, ,31.4,0,46.95,0,7.9,0,30.3,0,1.15,0,7,0,71.9,0,4.5,0
cmlahwq,6/30/2023 5:15,1,1, ,31.4,0,46.94,0,7.9,0,30.3,0,1.16,0,7,0,72.8,0,4.6,0
cmlahwq,6/30/2023 5:30,1,1, ,31.4,0,46.94,0,7.9,0,30.3,0,1.15,0,7,0,71.2,0,4.5,0
cmlahwq,6/30/2023 5:45,1,1, ,31.3,0,46.94,0,7.9,0,30.3,0,1.14,0,7,0,68.2,0,4.3,0
cmlahwq,6/30/2023 6:00,1,1, ,31.3,0,46.93,0,7.9,0,30.3,0,1.14,0,8,0,65.2,0,4.1,0
cmlahwq,6/30/2023 6:15,1,1, ,31.3,0,46.93,0,7.9,0,30.3,0,1.18,0,7,0,66.1,0,4.1,0
cmlahwq,6/30/2023 6:30,1,1, ,31.2,0,46.94,0,7.9,0,30.3,0,1.2,0,7,0,69.7,0,4.4,0
cmlahwq,6/30/2023 6:45,1,1, ,31.2,0,46.94,0,7.9,0,30.3,0,1.23,0,7,0,67.8,0,4.3,0
cmlahwq,6/30/2023 7:00,1,1, ,31.1,0,46.93,0,7.9,0,30.3,0,1.28,0,8,0,70.7,0,4.4,0
cmlahwq,6/30/2023 7:15,1,1, ,31.1,0,46.96,0,7.9,0,30.3,0,1.31,0,7,0,65.5,0,4.1,0
cmlahwq,6/30/2023 7:30,1,1, ,31.1,0,47,0,7.8,0,30.4,0,1.32,0,7,0,57.1,0,3.6,0
cmlahwq,6/30/2023 7:45,1,1, ,31.1,0,47,0,7.8,0,30.4,0,1.32,0,6,0,56.2,0,3.5,0
cmlahwq,6/30/2023 8:00,1,1, ,31.1,0,46.94,0,7.8,0,30.3,0,1.33,0,7,0,63,0,4,0
cmlahwq,6/30/2023 8:15,1,1, ,31.1,0,46.94,0,7.8,0,30.3,0,1.32,0,6,0,62,0,3.9,0
cmlahwq,6/30/2023 8:30,1,1, ,31.2,0,46.95,0,7.8,0,30.3,0,1.32,0,6,0,56.2,0,3.5,0
cmlahwq,6/30/2023 8:45,1,1, ,31.2,0,46.96,0,7.7,0,30.3,0,1.35,0,5,0,47.9,0,3,0
cmlahwq,6/30/2023 9:00,1,1, ,31.2,0,46.96,0,7.9,0,30.3,0,1.38,0,9,0,66.9,0,4.2,0
cmlahwq,6/30/2023 9:15,1,1, ,31.2,0,47.09,0,7.9,0,30.4,0,1.42,0,7,0,73.7,0,4.6,0
cmlahwq,6/30/2023 9:30,1,1, ,31.3,0,47.15,0,7.9,0,30.5,0,1.47,0,6,0,75.9,0,4.8,0
cmlahwq,6/30/2023 9:45,1,1, ,31.3,0,47.15,0,7.9,0,30.5,0,1.52,0,6,0,77,0,4.8,0
cmlahwq,6/30/2023 10:00,1,1, ,31.3,0,47.14,0,7.8,0,30.5,0,1.54,0,7,0,67,0,4.2,0
cmlahwq,6/30/2023 10:15,1,1, ,31.3,0,47.15,0,7.9,0,30.5,0,1.56,0,6,0,62.6,0,3.9,0
cmlahwq,6/30/2023 10:30,1,1, ,31.4,0,47.16,0,7.9,0,30.5,0,1.56,0,6,0,75.7,0,4.7,0
cmlahwq,6/30/2023 10:45,1,1, ,31.6,0,47.09,0,7.9,0,30.4,0,1.54,0,5,0,72.8,0,4.5,0
cmlahwq,6/30/2023 11:00,1,1, ,31.6,0,47.02,0,7.9,0,30.4,0,1.52,0,6,0,71.8,0,4.5,0
cmlahwq,6/30/2023 11:15,1,1, ,32,0,47.06,0,7.9,0,30.4,0,1.51,0,5,0,78.3,0,4.9,0
cmlahwq,6/30/2023 11:30,1,1, ,32.1,0,47.01,0,7.9,0,30.4,0,1.49,0,5,0,82.2,0,5.1,0
cmlahwq,6/30/2023 11:45,1,1, ,32.2,0,46.98,0,7.9,0,30.3,0,1.47,0,6,0,82.7,0,5.1,0
cmlahwq,6/30/2023 12:00,1,1, ,32.2,0,46.94,0,7.9,0,30.3,0,1.45,0,6,0,83.2,0,5.1,0
cmlahwq,6/30/2023 12:15,1,1, ,32.3,0,46.87,0,8,0,30.2,0,1.43,0,5,0,90.8,0,5.6,0
cmlahwq,6/30/2023 12:30,1,1, ,32.3,0,46.77,0,8,0,30.2,0,1.39,0,5,0,95.5,0,5.9,0
cmlahwq,6/30/2023 12:45,1,1, ,32.3,0,46.77,0,8,0,30.2,0,1.35,0,5,0,99.4,0,6.1,0
cmlahwq,6/30/2023 13:00,1,1, ,32.3,0,46.69,0,8,0,30.1,0,1.31,0,6,0,98.9,0,6.1,0
cmlahwq,6/30/2023 13:15,1,1, ,32.3,0,46.64,0,8,0,30.1,0,1.26,0,6,0,101.3,0,6.3,0
cmlahwq,6/30/2023 13:30,1,1, ,32.3,0,46.61,0,8,0,30.1,0,1.22,0,6,0,100.9,0,6.2,0
cmlahwq,6/30/2023 13:45,1,1, ,32.4,0,46.58,0,8,0,30,0,1.17,0,6,0,101.4,0,6.3,0
cmlahwq,6/30/2023 14:00,1,1, ,32.4,0,46.55,0,8,0,30,0,1.12,0,7,0,100.4,0,6.2,0
cmlahwq,6/30/2023 14:15,1,1, ,32.5,0,46.53,0,8,0,30,0,1.07,0,8,0,100.2,0,6.2,0
cmlahwq,6/30/2023 14:30,1,1, ,32.5,0,46.38,0,8,0,29.9,0,1.02,0,9,0,103.3,0,6.4,0
cmlahwq,6/30/2023 14:45,1,1, ,32.7,0,46.47,0,8,0,29.9,0,0.96,0,8,0,111.2,0,6.8,0
cmlahwq,6/30/2023 15:00,1,1, ,32.9,0,46.42,0,8.1,0,29.9,0,0.91,0,8,0,115.7,0,7.1,0
cmlahwq,6/30/2023 15:15,1,1, ,33,0,46.33,0,8.1,0,29.8,0,0.86,0,10,0,116.7,0,7.1,0
cmlahwq,6/30/2023 15:30,1,1, ,33,0,46.27,0,8,0,29.8,0,0.8,0,9,0,114.7,0,7,0
cmlahwq,6/30/2023 15:45,1,1, ,33.1,0,46.21,0,8,0,29.7,0,0.76,0,9,0,112.3,0,6.9,0
cmlahwq,6/30/2023 16:00,1,1, ,33.1,0,46.1,0,8,0,29.7,0,0.71,0,9,0,114.9,0,7,0
cmlahwq,6/30/2023 16:15,1,1, ,33.2,0,46.12,0,8,0,29.7,0,0.67,0,10,0,115.5,0,7.1,0
cmlahwq,6/30/2023 16:30,1,1, ,33.3,0,46.17,0,8,0,29.7,0,0.64,0,9,0,114.9,0,7,0
cmlahwq,6/30/2023 16:45,1,1, ,33.3,0,46.16,0,8,0,29.7,0,0.61,0,8,0,113.6,0,6.9,0
